CustomerID,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER,MONDAY_ORDERS,TUESDAY_ORDERS,WEDNESDAY_ORDERS,THURSDAY_ORDERS,FRIDAY_ORDERS,SATURDAY_ORDERS,SUNDAY_ORDERS,MONDAY_REVENUE,TUESDAY_REVENUE,WEDNESDAY_REVENUE,THURSDAY_REVENUE,FRIDAY_REVENUE,SATURDAY_REVENUE,SUNDAY_REVENUE,WEEK1_DAY01_DAY07_ORDERS,WEEK2_DAY08_DAY15_ORDERS,WEEK3_DAY16_DAY23_ORDERS,WEEK4_DAY24_DAY31_ORDERS,WEEK1_DAY01_DAY07_REVENUE,WEEK2_DAY08_DAY15_REVENUE,WEEK3_DAY16_DAY23_REVENUE,WEEK4_DAY24_DAY31_REVENUE,TIME_0000_0600_ORDERS,TIME_0601_1200_ORDERS,TIME_1200_1800_ORDERS,TIME_1801_2359_ORDERS,TIME_0000_0600_REVENUE,TIME_0601_1200_REVENUE,TIME_1200_1800_REVENUE,TIME_1801_2359_REVENUE
491,37,3934.05,106.33,162.50,4.39,30-Aug-14,24-Oct-21,70.59,1,3,5,7,5,4,7,6,491.54,471.95,556.93,571.68,523.93,634.34,683.68,9,10,7,11,686.20,1262.83,604.64,1380.38,2,15,7,13,200.38,1872.32,567.84,1293.51
492,20,3933.82,196.69,74.87,3.74,15-Sep-15,24-Oct-21,111.55,1,3,3,4,3,2,3,2,370.92,382.99,739.47,968.99,268.99,455.97,746.49,7,3,5,5,1771.97,744.98,587.95,828.92,0,5,9,6,0.00,801.41,2025.95,1106.46
572,21,3778.07,179.91,91.07,4.34,25-Jan-21,24-Oct-21,12.95,1,6,1,1,1,2,3,7,460.39,188.39,125.99,73.19,118.99,541.17,2269.95,8,1,4,8,1560.77,105.19,475.82,1636.29,5,8,5,3,316.77,1776.56,1460.56,224.18
595,34,3725.48,109.57,115.78,3.41,17-Feb-20,24-Oct-21,18.09,1,6,4,4,6,8,1,5,704.46,414.46,389.98,638.98,852.49,107.99,617.12,2,13,7,12,191.88,1410.41,747.44,1375.75,17,4,8,5,1546.10,532.97,866.93,779.48
613,31,3660.12,118.07,114.77,3.70,1-Apr-18,24-Oct-21,42,1,9,2,2,1,4,2,11,1017.44,196.48,263.98,179.99,659.97,459.68,882.58,6,6,11,8,983.46,582.95,1248.32,845.39,2,8,11,10,289.98,1108.84,869.19,1392.11
669,28,3547.93,126.71,61.68,2.20,19-May-14,24-Oct-21,96.96,1,1,9,7,5,1,0,5,116.10,1138.23,1054.27,409.25,183.60,0.00,646.48,0,18,7,3,0.00,2182.19,1028.29,337.45,0,2,13,13,0.00,184.99,1553.33,1809.61
671,31,3547.70,114.44,150.70,4.86,2-Dec-20,24-Oct-21,10.52,1,0,5,6,3,3,7,7,0.00,709.96,724.94,283.97,388.97,792.93,646.93,8,6,6,11,831.92,813.95,772.94,1128.89,4,1,18,8,447.96,123.99,2162.83,812.92
740,11,3401.97,309.27,45.87,4.17,11-Feb-19,24-Oct-21,89.64,1,1,3,2,2,0,2,1,136.99,1224.08,270.99,671.99,0.00,860.99,236.93,1,3,2,5,367.99,711.98,566.48,1755.52,2,2,4,3,604.92,954.49,1027.57,814.99
750,20,3391.09,169.55,61.89,3.09,25-Apr-21,24-Oct-21,9.1,1,1,2,0,1,3,7,6,215.00,208.08,0.00,67.09,620.00,1137.95,1142.97,0,3,3,14,0.00,288.67,529.99,2572.43,1,5,8,6,68.09,949.48,1300.05,1073.47
785,15,3322.83,221.52,45.93,3.06,25-Apr-20,24-Oct-21,36.47,1,0,3,1,3,5,1,2,0.00,473.99,107.99,544.98,1058.78,407.00,730.09,1,6,5,3,225.00,1042.86,1013.98,1040.99,0,5,5,5,0.00,1011.07,1418.97,892.79
795,29,3305.80,113.99,103.80,3.58,12-Nov-20,24-Oct-21,11.93,1,0,4,5,2,4,8,6,0.00,705.97,598.95,215.99,434.97,714.95,634.97,3,8,7,11,545.97,910.96,661.94,1186.93,0,7,8,14,0.00,467.97,991.94,1845.89
806,13,3287.77,252.91,42.92,3.30,22-Mar-16,24-Oct-21,157.08,1,1,1,1,1,1,5,3,367.49,104.99,300.00,391.50,514.99,568.17,1040.63,2,7,1,3,577.48,2159.17,104.99,446.13,1,1,2,9,55.00,391.50,1008.49,1832.78
854,13,3224.55,248.04,24.95,1.92,12-Apr-17,24-Oct-21,127.38,1,4,0,4,1,3,0,1,812.07,0.00,1526.98,247.50,162.00,0.00,476.00,5,1,2,5,808.08,144.99,165.99,2105.49,0,8,5,0,0.00,1676.57,1547.98,0.00
864,19,3211.35,169.02,84.85,4.47,11-Feb-18,24-Oct-21,71.11,1,4,2,1,1,7,0,4,1183.96,275.98,105.00,385.00,595.94,0.00,665.47,5,3,4,7,855.97,384.99,757.96,1212.43,0,6,6,7,0.00,788.96,844.94,1577.45
902,14,3149.69,224.98,30.94,2.21,17-Jun-20,24-Oct-21,35.29,1,1,0,1,4,5,0,3,180.99,0.00,720.99,143.38,677.45,0.00,1426.88,3,3,7,1,91.99,728.57,1579.43,749.70,2,5,1,6,801.09,421.17,528.99,1398.44
928,18,3113.08,172.95,50.48,2.80,12-Apr-20,24-Oct-21,31.11,1,4,3,0,0,1,4,6,912.74,463.73,0.00,0.00,221.99,444.21,1070.41,5,1,7,5,685.21,200.00,1502.58,725.29,1,3,6,8,287.49,645.99,1060.90,1118.70
947,18,3088.26,171.57,33.66,1.87,30-Mar-20,24-Oct-21,31.83,1,2,1,2,2,0,5,6,345.68,234.00,619.70,199.92,0.00,827.27,861.69,2,9,2,5,166.99,1442.07,199.92,1279.28,3,7,5,3,897.70,877.68,509.70,803.18
972,24,3060.53,127.52,125.78,5.24,1-Jun-16,24-Oct-21,82.13,1,4,2,4,3,4,3,4,441.66,413.69,428.06,202.18,687.81,565.67,321.46,4,6,8,6,458.66,613.39,1053.74,934.74,4,7,7,6,604.31,810.04,1011.79,634.39
1000,22,3027.11,137.60,69.86,3.18,1-Nov-19,24-Oct-21,32.86,1,1,1,2,0,2,9,7,116.19,266.89,128.99,0.00,703.48,896.94,914.62,2,8,2,10,566.68,731.16,350.78,1378.49,1,8,4,9,266.89,1260.41,914.86,584.95
1075,24,2944.71,122.70,96.81,4.03,24-Dec-16,24-Oct-21,73.54,1,1,2,0,4,6,2,9,53.99,198.63,0.00,835.37,514.16,342.99,999.57,7,6,3,8,476.15,746.14,351.62,1370.80,3,9,9,3,295.98,895.13,1385.62,367.98
1146,28,2865.89,102.35,110.79,3.96,10-Aug-17,24-Oct-21,54.86,1,3,7,4,6,3,2,3,432.98,511.76,429.26,620.97,323.97,212.98,333.97,7,6,10,5,686.75,592.24,914.93,671.97,6,11,5,6,490.93,1123.00,711.98,539.98
1399,31,2659.31,85.78,102.81,3.32,13-Nov-19,24-Oct-21,22.94,1,4,3,2,5,5,7,5,285.49,254.97,360.25,478.72,447.71,556.46,275.71,7,5,10,9,608.94,545.49,936.94,567.94,1,7,14,9,98.74,519.46,1246.66,794.45
1468,13,2612.35,200.95,51.35,3.95,11-Nov-17,24-Oct-21,111,1,2,2,2,0,2,3,2,330.99,436.99,284.99,0.00,339.98,928.98,290.42,1,5,2,5,233.99,1209.97,239.99,928.40,0,3,2,8,0.00,573.97,311.43,1726.95
1472,19,2609.00,137.32,78.85,4.15,5-Aug-20,24-Oct-21,23.42,1,1,5,1,3,3,3,3,289.00,676.95,137.99,477.97,224.38,425.98,376.73,4,6,3,6,532.16,965.95,452.19,658.70,0,4,12,3,0.00,514.93,1639.10,454.97
1481,11,2604.78,236.80,20.33,1.85,18-May-19,24-Oct-21,80.91,1,0,2,0,0,3,4,2,0.00,472.44,0.00,0.00,514.99,1229.35,388.00,1,0,3,7,77.44,0.00,1400.35,1126.99,1,4,4,2,94.99,1618.36,418.99,472.44
1573,23,2555.27,111.10,102.82,4.47,31-Jul-18,24-Oct-21,51.35,1,2,2,2,13,0,1,3,152.73,183.98,254.23,1493.37,0.00,90.49,380.47,4,4,7,8,287.74,592.47,823.69,851.37,9,3,9,2,901.94,541.48,930.87,180.98
1589,18,2544.48,141.36,53.98,3.00,27-Oct-20,24-Oct-21,20.11,1,1,5,1,3,5,1,2,225.49,723.99,196.99,334.99,742.96,203.99,116.07,7,4,5,2,1134.46,478.97,609.97,321.08,3,6,9,0,466.07,839.47,1238.94,0.00
1610,22,2534.23,115.19,89.83,4.08,25-Dec-20,24-Oct-21,13.77,1,4,2,1,1,9,1,4,363.48,485.98,94.09,200.99,733.33,280.99,375.37,0,5,10,7,0.00,643.42,1163.61,727.20,2,8,4,8,315.08,797.39,494.06,927.70
1621,21,2530.55,120.50,54.85,2.61,5-Apr-21,24-Oct-21,9.62,1,4,2,4,3,5,1,2,489.48,289.49,323.99,340.09,669.41,58.09,360.00,6,5,6,4,808.49,769.40,563.66,389.00,0,6,12,3,0.00,639.57,1508.89,382.09
1717,27,2475.84,91.70,61.89,2.29,28-Jun-16,24-Oct-21,72,1,3,2,3,4,3,4,8,416.98,224.00,165.18,216.99,224.99,309.58,918.12,5,5,8,9,380.98,970.99,569.64,554.23,1,2,10,14,154.99,176.64,748.15,1396.06
1721,29,2469.36,85.15,98.81,3.41,28-Dec-17,24-Oct-21,48.14,1,5,2,6,4,4,4,4,379.18,204.98,500.35,416.37,305.08,286.98,376.42,5,5,5,14,499.98,328.16,391.18,1250.04,1,15,6,7,45.00,1246.95,459.95,717.46
1787,26,2432.01,93.54,66.86,2.57,12-Oct-16,24-Oct-21,70.69,1,4,8,3,2,3,0,6,223.98,633.16,388.97,233.98,256.18,0.00,695.74,6,3,6,11,558.98,400.98,557.76,914.29,1,7,11,7,161.99,512.18,1319.68,438.16
1819,20,2416.13,120.81,36.93,1.85,5-Jun-21,24-Oct-21,7.05,1,1,7,4,0,2,2,4,154.99,802.98,468.00,0.00,220.99,229.99,539.18,5,6,5,4,513.08,776.97,622.99,503.09,1,1,10,8,154.99,249.99,1192.08,819.07
1851,13,2402.91,184.84,52.91,4.07,8-Jan-21,24-Oct-21,22.23,1,1,0,0,1,6,1,4,80.00,0.00,0.00,236.99,1243.96,265.00,576.96,3,7,0,3,643.97,1368.97,0.00,389.97,2,4,5,2,339.99,890.97,804.97,366.98
1873,18,2390.84,132.82,88.84,4.94,3-Apr-19,24-Oct-21,51.94,1,2,3,4,2,4,2,1,280.98,327.97,325.96,420.98,608.97,360.99,64.99,7,5,3,3,1052.95,781.95,204.97,350.97,0,2,5,11,0.00,207.98,494.95,1687.91
1885,24,2386.87,99.45,72.87,3.04,8-Sep-20,24-Oct-21,17.13,1,2,2,1,1,1,9,8,318.19,193.99,49.09,131.09,60.89,769.85,863.77,4,7,3,10,183.68,589.76,446.89,1166.54,9,6,2,7,783.14,925.17,242.99,435.57
2016,9,2327.53,258.61,9.98,1.11,18-May-21,24-Oct-21,17.67,1,2,2,0,0,0,0,5,940.50,774.59,0.00,0.00,0.00,0.00,612.44,0,1,3,5,0.00,453.60,923.34,950.59,1,0,3,5,453.60,0.00,923.34,950.59
2096,20,2277.34,113.87,81.84,4.09,7-Sep-19,24-Oct-21,38.9,1,4,0,2,5,3,2,4,322.47,0.00,209.98,607.96,177.99,407.98,550.96,9,4,1,6,1081.43,596.96,39.99,558.96,0,2,6,12,0.00,126.49,609.96,1540.89
2109,40,2274.19,56.85,153.54,3.84,27-May-20,24-Oct-21,12.88,1,1,8,4,4,10,8,5,43.49,429.92,252.96,100.82,488.94,716.09,241.97,12,5,16,7,660.91,243.45,1018.89,350.94,0,16,6,18,0.00,921.22,356.95,996.02
2194,25,2234.03,89.36,89.84,3.59,10-May-20,24-Oct-21,21.28,1,5,5,3,3,1,1,7,403.80,578.96,271.89,296.12,155.99,72.99,454.28,5,8,7,5,370.08,723.40,613.39,527.16,1,5,8,11,72.99,525.95,927.75,707.34
2429,22,2144.10,97.46,50.90,2.31,24-Dec-17,24-Oct-21,63.64,1,0,3,3,4,4,5,3,0.00,188.18,309.64,474.19,360.17,445.98,365.94,4,9,4,5,398.18,754.95,368.63,622.34,3,6,11,2,264.98,618.38,1100.90,159.84
2483,13,2125.67,163.51,44.92,3.46,23-Nov-19,24-Oct-21,53.92,1,0,2,1,0,1,4,5,0.00,231.99,189.99,0.00,73.99,1032.73,596.97,5,3,3,2,1274.47,307.48,337.73,205.99,1,3,9,0,151.00,396.48,1578.19,0.00
2493,25,2120.69,84.83,75.84,3.03,1-May-18,24-Oct-21,50.88,1,0,6,3,3,3,3,7,0.00,415.96,420.99,275.48,201.94,268.18,538.14,5,2,9,9,476.98,202.99,664.61,776.11,0,1,6,18,0.00,33.99,550.98,1535.72
2777,8,2024.43,253.05,43.93,5.49,18-Dec-18,24-Oct-21,130.13,1,1,1,1,1,1,2,1,160.99,70.99,476.99,615.99,146.49,195.98,357.00,0,5,2,1,0.00,1561.45,105.98,357.00,0,5,3,0,0.00,770.46,1253.97,0.00
2858,10,2004.09,200.41,29.94,2.99,24-Sep-20,24-Oct-21,39.5,1,0,1,3,2,3,0,1,0.00,350.49,723.58,160.18,279.39,0.00,490.45,0,4,1,5,0.00,299.58,350.49,1354.02,1,3,1,5,334.59,279.39,490.45,899.66
2872,15,1999.14,133.28,16.97,1.13,5-May-17,24-Oct-21,108.87,1,2,2,0,3,5,1,2,169.99,261.00,0.00,986.00,154.19,184.00,243.96,3,3,5,4,518.00,390.00,149.18,941.96,0,6,1,8,0.00,189.19,608.00,1201.95
2890,28,1993.50,71.20,79.85,2.85,21-Sep-20,24-Oct-21,14.21,1,1,2,12,5,1,5,2,196.99,68.99,1161.88,134.59,57.99,269.82,103.24,1,6,9,12,57.99,467.36,1038.74,429.41,8,14,4,2,497.22,1191.71,98.59,205.98
3004,17,1957.14,115.13,91.84,5.40,9-Jul-20,24-Oct-21,27.76,1,5,3,2,5,0,0,2,343.36,392.47,250.08,662.25,0.00,0.00,308.98,3,3,4,7,394.07,439.07,481.36,642.64,2,5,5,5,262.08,308.66,637.25,749.15
3102,17,1931.17,113.60,44.92,2.64,21-Aug-20,24-Oct-21,25.24,1,2,0,5,0,3,3,4,56.19,0.00,327.58,0.00,652.93,353.19,541.28,6,2,5,4,494.97,56.19,849.93,530.08,0,11,3,3,0.00,1204.51,439.08,287.58
3122,9,1924.96,213.88,22.96,2.55,10-Apr-21,24-Oct-21,21.89,1,0,0,0,3,2,2,2,0.00,0.00,0.00,806.98,239.98,218.00,660.00,0,2,4,3,0.00,218.00,866.97,839.99,2,4,3,0,626.99,878.00,419.97,0.00
3124,15,1924.86,128.32,77.86,5.19,21-Jun-18,24-Oct-21,81.4,1,3,2,0,1,1,4,4,419.97,340.98,0.00,53.99,94.99,511.97,502.96,1,4,6,4,124.99,681.96,640.94,476.97,0,3,4,8,0.00,546.98,461.96,915.92
3128,18,1924.45,106.91,49.90,2.77,21-Jan-21,24-Oct-21,15.33,1,1,4,1,2,2,3,5,58.09,459.77,108.99,260.59,120.19,540.34,376.48,5,6,4,3,435.86,720.87,436.92,330.80,2,4,5,7,170.59,361.23,715.08,677.55
3202,9,1905.12,211.68,14.97,1.66,1-Dec-20,24-Oct-21,36.33,1,0,1,0,2,0,2,4,0.00,88.99,0.00,707.44,0.00,732.99,375.70,1,1,0,7,88.99,463.25,0.00,1352.88,0,4,3,2,0.00,375.70,796.43,732.99
3261,18,1890.12,105.01,41.92,2.33,9-Oct-20,24-Oct-21,21.11,1,0,2,1,1,13,0,1,0.00,138.38,80.99,108.19,1464.81,0.00,97.75,4,3,5,6,505.99,467.37,373.64,543.12,12,2,4,0,1207.14,176.99,505.99,0.00
3280,13,1886.04,145.08,30.94,2.38,24-Dec-18,24-Oct-21,79.62,1,4,1,0,1,3,0,4,651.44,211.99,0.00,523.49,189.49,0.00,309.63,2,2,7,2,161.18,735.48,450.63,538.75,0,4,6,3,0.00,210.74,1541.36,133.94
3313,12,1879.72,156.64,49.92,4.16,4-Oct-17,24-Oct-21,123.42,1,2,0,4,3,1,0,2,322.48,0.00,484.12,810.47,106.25,0.00,156.40,4,4,2,2,619.96,678.88,424.48,156.40,8,2,1,1,1356.10,141.48,272.49,109.65
3335,19,1876.65,98.77,86.85,4.57,17-Jan-21,24-Oct-21,14.74,1,1,3,0,7,2,4,2,45.99,448.98,0.00,729.54,188.78,273.38,189.98,2,9,4,4,227.98,945.54,373.16,329.97,0,5,7,7,0.00,553.96,540.36,782.33
3365,21,1868.29,88.97,62.89,2.99,1-Jul-19,24-Oct-21,40.29,1,3,3,6,1,4,1,3,257.48,331.88,501.48,68.19,303.18,138.19,267.89,7,7,2,5,598.15,620.08,104.99,545.07,0,13,8,0,0.00,1100.94,767.35,0.00
3414,10,1858.95,185.90,30.95,3.10,19-Jan-21,24-Oct-21,27.8,1,1,1,3,0,1,1,3,195.00,69.99,650.00,0.00,140.99,213.99,588.98,0,1,5,4,0.00,213.99,914.99,729.97,1,3,2,4,213.99,588.98,264.99,790.99
3421,17,1857.86,109.29,72.86,4.29,1-Jan-18,24-Oct-21,81.88,1,2,5,1,1,2,2,4,233.99,512.97,69.99,154.99,112.98,254.98,517.96,6,0,1,10,754.95,0.00,104.99,997.92,2,10,1,4,285.98,999.91,104.99,466.98
3608,13,1813.31,139.49,45.91,3.53,21-May-20,24-Oct-21,40.08,1,0,2,2,2,2,0,5,0.00,400.00,298.98,271.98,233.39,0.00,608.96,4,5,1,3,563.98,656.96,141.99,450.38,3,3,0,7,469.99,343.37,0.00,999.95
3687,15,1796.57,119.77,68.87,4.59,19-Mar-19,24-Oct-21,63.33,1,1,2,3,3,3,2,1,120.99,321.98,226.47,427.98,397.22,272.18,29.75,3,3,4,5,431.22,418.48,475.96,470.91,2,3,6,4,153.23,418.48,666.90,557.96
3712,8,1790.97,223.87,18.97,2.37,28-Sep-17,24-Oct-21,185.88,1,1,0,2,1,2,1,1,624.99,0.00,741.99,166.00,44.99,26.00,187.00,1,0,3,4,625.99,0.00,669.98,495.00,0,2,3,3,0.00,740.99,978.99,70.99
3867,10,1757.96,175.80,22.96,2.30,16-Dec-14,24-Oct-21,250.4,1,1,1,3,0,1,1,3,575.00,109.00,234.97,0.00,96.99,326.00,416.00,0,1,5,4,0.00,326.00,918.97,512.99,0,6,3,1,0.00,1426.00,266.97,64.99
3880,25,1756.37,70.25,89.72,3.59,10-Jul-20,24-Oct-21,18.84,1,5,5,2,4,4,1,4,360.86,202.17,242.24,258.37,318.32,85.09,289.32,8,6,7,4,416.14,439.56,555.71,344.96,3,13,8,1,205.37,797.96,612.79,140.25
3914,13,1748.81,134.52,59.81,4.60,17-Oct-18,24-Oct-21,84.85,1,3,1,1,5,1,0,2,564.98,110.99,100.99,721.96,26.99,0.00,222.90,4,1,7,1,575.46,345.00,750.44,77.91,0,1,6,6,0.00,94.99,566.37,1087.45
3938,11,1744.81,158.62,19.96,1.81,17-Aug-20,24-Oct-21,39.36,1,1,0,2,0,3,0,5,424.99,0.00,187.00,0.00,465.18,0.00,667.64,2,4,2,3,187.00,391.39,605.18,561.24,1,9,1,0,180.19,1288.37,276.25,0.00
3965,21,1739.11,82.81,71.86,3.42,15-Dec-20,24-Oct-21,14.9,1,1,5,8,1,3,1,2,84.99,496.46,814.61,19.99,144.98,85.09,92.99,0,14,2,5,0.00,1279.66,119.99,339.46,5,11,3,2,453.97,867.08,178.08,239.98
4029,18,1726.06,95.89,79.86,4.44,2-Sep-20,24-Oct-21,23.17,1,5,1,1,1,1,3,6,398.96,64.99,55.49,81.99,162.99,225.58,736.06,3,2,5,8,201.47,251.18,573.05,700.36,0,2,6,10,0.00,244.98,552.56,928.52
4070,10,1718.92,171.89,47.92,4.79,29-Jun-19,24-Oct-21,84.8,1,0,0,0,1,2,4,3,0.00,0.00,0.00,193.99,539.98,685.97,298.98,1,1,3,5,193.99,133.99,509.97,880.97,0,3,3,4,0.00,521.98,709.97,486.97
4074,18,1718.60,95.48,55.40,3.08,13-Sep-20,24-Oct-21,22.56,1,0,2,2,1,1,7,5,0.00,150.18,111.35,232.19,58.09,407.48,759.31,2,2,7,7,100.19,339.58,697.52,581.31,2,5,5,6,100.19,652.27,470.52,495.62
4181,16,1699.95,106.25,24.95,1.56,19-Feb-21,24-Oct-21,15.44,1,0,1,4,4,6,0,1,0.00,74.99,179.99,573.98,661.99,0.00,209.00,3,0,11,2,539.98,0.00,875.98,283.99,0,1,2,13,0.00,209.00,169.98,1320.97
4199,10,1697.25,169.73,32.95,3.30,18-Oct-20,24-Oct-21,37.1,1,0,0,2,0,1,4,3,0.00,0.00,230.28,0.00,123.09,647.59,696.29,1,0,6,3,123.09,0.00,1146.87,427.29,0,4,5,1,0.00,531.29,1110.97,54.99
4230,9,1692.57,188.06,14.97,1.66,11-Jan-21,24-Oct-21,31.78,1,1,2,0,0,4,1,1,748.00,122.99,0.00,0.00,320.58,301.00,200.00,2,2,4,1,122.99,811.99,557.59,200.00,0,2,0,7,0.00,122.99,0.00,1569.58
4283,8,1682.96,210.37,24.96,3.12,15-Apr-18,24-Oct-21,161,1,1,1,1,1,0,1,3,87.99,58.99,355.00,218.99,0.00,75.00,886.99,1,4,1,2,700.00,581.98,218.99,181.99,0,4,3,1,0.00,741.98,881.99,58.99
4299,12,1681.80,140.15,42.20,3.52,20-Nov-18,24-Oct-21,89.08,1,0,3,4,0,2,2,1,0.00,575.08,268.19,0.00,270.98,462.98,104.57,2,2,2,6,266.38,462.98,360.49,591.95,0,2,4,6,0.00,434.98,654.45,592.37
4373,6,1672.60,278.77,27.95,4.66,15-Mar-18,24-Oct-21,219.83,1,1,1,1,1,0,1,1,444.99,236.19,196.19,439.00,0.00,236.19,120.04,3,1,1,1,668.57,439.00,444.99,120.04,0,3,3,0,0.00,795.23,877.37,0.00
4565,20,1641.58,82.08,59.88,2.99,30-Jan-21,24-Oct-21,13.35,1,1,0,0,2,3,9,5,45.00,0.00,0.00,61.99,319.98,698.65,515.96,1,8,3,8,174.09,671.96,165.99,629.54,2,9,0,9,61.99,812.64,0.00,766.95
4572,14,1640.34,117.17,58.89,4.21,3-Jul-17,24-Oct-21,112.43,1,3,0,2,1,0,0,8,408.57,0.00,338.68,102.60,0.00,0.00,790.49,3,2,5,4,482.67,172.80,553.35,431.52,0,3,5,6,0.00,341.97,728.82,569.55
4614,14,1633.95,116.71,26.95,1.93,30-Sep-20,24-Oct-21,27.79,1,2,0,5,3,1,0,3,397.98,0.00,318.99,334.99,204.00,0.00,377.99,3,0,3,8,418.00,0.00,336.98,878.97,0,0,11,3,0.00,0.00,1165.97,467.98
4615,21,1633.65,77.79,52.90,2.52,17-Dec-19,24-Oct-21,32.24,1,1,6,2,4,1,1,6,198.59,504.74,60.99,365.82,92.19,69.99,341.33,0,6,5,10,0.00,509.35,455.17,669.13,0,4,9,8,0.00,142.80,864.24,626.61
4662,11,1626.43,147.86,37.93,3.45,26-Aug-19,24-Oct-21,71.82,1,3,1,0,2,0,0,5,300.98,255.00,0.00,407.99,0.00,0.00,662.46,0,4,3,4,0.00,561.47,348.98,715.98,0,4,6,1,0.00,561.47,974.96,90.00
4668,9,1625.12,180.57,16.97,1.89,31-Dec-18,24-Oct-21,114.22,1,3,0,0,0,1,2,3,529.99,0.00,0.00,0.00,93.99,581.00,420.14,1,2,2,4,263.00,553.00,257.99,551.13,1,2,5,1,123.99,575.00,642.13,284.00
4678,14,1623.52,115.97,45.92,3.28,16-Aug-16,24-Oct-21,135.36,1,4,1,1,3,2,0,3,543.49,52.99,194.99,236.19,268.39,0.00,327.47,0,3,9,2,0.00,335.38,1027.66,260.48,0,4,1,9,0.00,458.96,24.99,1139.57
